change_type,company_number,company_name,officer_name,officer_role,appointed_on,resigned_on,date_detected
New Appointment,01918744,ASTA MANAGING AGENCY LTD,"SHAH, Nylesh",director,2026-06-01,,2026-06-06
New Appointment,05465261,PARTNERSHIP LIFE ASSURANCE COMPANY LIMITED,"FABER, Richard Julian Robert",director,2026-04-01,,2026-06-06
