change_type,company_number,company_name,officer_name,officer_role,appointed_on,resigned_on,date_detected
New Appointment,08506758,TRANSRE LONDON LIMITED,"BUTT, Laurence Russell",director,2026-06-01,,2026-06-04
Resignation,08506758,TRANSRE LONDON LIMITED,"MCKEON, Paul Francis",director,2023-07-19,2026-06-01,2026-06-04
Resignation,04873289,NAMECO (NO.811) LIMITED,"CRICHTON, Charles David Blayney",director,2005-05-16,2026-05-20,2026-06-04
Resignation,04873289,NAMECO (NO.811) LIMITED,"CRICHTON, Harriet Elizabeth",director,2012-03-23,2026-05-20,2026-06-04
New Appointment,04137311,BRIGHTSIDE INSURANCE SERVICES LIMITED,"GRAVES, Karen",director,2026-06-01,,2026-06-04
New Appointment,04137311,BRIGHTSIDE INSURANCE SERVICES LIMITED,"NEWMAN, Jennette Rachel",director,2026-06-01,,2026-06-04
New Appointment,SC761488,ARX RURAL RE LTD,"MCLEAN, Neil Fraser",director,2026-04-01,,2026-06-04
