change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,lloyds_managing_agent,monitoring_status
New Posting,02396114,HSB ENGINEERING INSURANCE LIMITED,Building Control Project Manager,"South East London, London",80880.72,80880.72,2026-06-15,2026-06-15,,Pending Review
Disappeared - Short-lived,02396114,HSB ENGINEERING INSURANCE LIMITED,Building Control Project Manager,"South East London, London",80880.72,80880.72,2026-06-09,2026-06-15,,Pending Review
New Posting,09900466,PIB GROUP LIMITED,UX Researcher,UK,40502.02,40502.02,2026-06-13,2026-06-15,,Pending Review
Disappeared - Short-lived,09900466,PIB GROUP LIMITED,Account Executive (Desk-Based),UK,31850.51,31850.51,2026-05-29,2026-06-15,,Pending Review
Disappeared - Short-lived,09900466,PIB GROUP LIMITED,Technical Account Manager,UK,37185.39,37185.39,2026-05-30,2026-06-15,,Pending Review
