change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,lloyds_managing_agent,monitoring_status
Disappeared - Short-lived,SC286833,STANDARD LIFE ASSURANCE LIMITED,Programme Manager,"Portchester, Fareham",51024.36,51024.36,2026-04-25,2026-06-03,,Pending Review
Disappeared - Short-lived,SC286833,STANDARD LIFE ASSURANCE LIMITED,FIS IST Switch Expert - Payments,"London, UK",91000.0,117000.0,2026-05-30,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Purview Technical Consultant,UK,48245.12,48245.12,2026-04-14,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Product Manager (Managed Services),"Pocklington, York",36572.59,36572.59,2026-04-16,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Senior Azure AI Consultant,UK,62938.81,62938.81,2026-04-17,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Senior Infrastructure Consultant,UK,57975.81,57975.81,2026-04-23,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Senior Azure Consultant,UK,88275.84,88275.84,2026-04-24,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Senior HR Advisor,"Pocklington, York",36939.63,36939.63,2026-05-05,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Resource & Engagement Coordinator - 12 Month FTC,"Pocklington, York",29485.86,29485.86,2026-05-11,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,AWS Solutions Specialist,"Pocklington, York",41883.24,41883.24,2026-05-11,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Data Protection Solutions Executive,"Pocklington, York",43314.84,43314.84,2026-05-11,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Account Manager,"Leeds, West Yorkshire",60000.0,60000.0,2026-05-12,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Business Analyst - Mandarin Speaking,"Leeds, West Yorkshire",60000.0,60000.0,2026-05-12,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Business Analyst,"Leeds, West Yorkshire",60000.0,60000.0,2026-05-12,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Account Manager,"Cookridge, Leeds",60000.0,60000.0,2026-05-12,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Business Analyst - Spanish Speaking,"Leeds, West Yorkshire",60000.0,60000.0,2026-05-13,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Business Analyst - Portuguese Speaking,"Leeds, West Yorkshire",60000.0,60000.0,2026-05-13,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Account Manager Spanish Speaking,"Leeds, West Yorkshire",60000.0,60000.0,2026-05-13,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Account Manager - French Speaking,"Leeds, West Yorkshire",60000.0,60000.0,2026-05-13,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Account Manager - Portuguese Speaking,"Leeds, West Yorkshire",60000.0,60000.0,2026-05-13,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Business Analyst - Spanish Speaking,"Cookridge, Leeds",60000.0,60000.0,2026-05-13,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Receptionist,"Pocklington, York",25644.06,25644.06,2026-05-13,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Account Manager - Portuguese Speaking,"Cookridge, Leeds",60000.0,60000.0,2026-05-14,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Account Manager Spanish Speaking,"Cookridge, Leeds",60000.0,60000.0,2026-05-14,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,Account Manager - French Speaking,"Cookridge, Leeds",60000.0,60000.0,2026-05-14,2026-06-03,,Pending Review
Disappeared - Short-lived,01016269,PHOENIX LIFE LIMITED,D365 and AI Pre Sales Specialist,"Pocklington, York",43524.15,43524.15,2026-05-19,2026-06-03,,Pending Review
