change_type,company_number,company_name,officer_name,officer_role,appointed_on,resigned_on,date_detected
Resignation,10254215,BLENHEIM UNDERWRITING LIMITED,"INGHAM, Sharon Julia",director,2020-10-02,2026-05-19,2026-06-03
New Appointment,00320784,NATIONAL HOUSE-BUILDING COUNCIL,"MAILLET, Sarah",director,2026-05-29,,2026-06-03
New Appointment,09742763,ACRISURE UK MGA LIMITED,"GALIJAARD, Neil Edward",director,2026-06-01,,2026-06-03
Resignation,09742763,ACRISURE UK MGA LIMITED,"LUDLEY, John David",director,2023-09-04,2026-06-01,2026-06-03
New Appointment,04413524,ENDURANCE WORLDWIDE INSURANCE LIMITED,"BRADBROOK, Paul Richard",director,2026-06-01,,2026-06-03
New Appointment,04413524,ENDURANCE WORLDWIDE INSURANCE LIMITED,"STANFORD, Sarah",director,2026-06-01,,2026-06-03
Resignation,04413524,ENDURANCE WORLDWIDE INSURANCE LIMITED,"GOLDING, Adam Jon",director,2021-01-25,2026-06-01,2026-06-03
New Appointment,00798365,INTEGRALIFE UK LIMITED,"WALLACE, Stephanie Anne",secretary,2026-06-01,,2026-06-03
Resignation,00798365,INTEGRALIFE UK LIMITED,"JOHNSON, David Graham Charles",secretary,2026-01-01,2026-06-01,2026-06-03
New Appointment,00730577,USAA LIMITED,"LONG, Alyssa Jane",director,2026-05-27,,2026-06-03
Resignation,00172919,GALLAGHER CONSULTANTS (HEALTHCARE) LIMITED,"GREEN, Antony Nicholas Lovell",director,2020-05-20,2026-06-01,2026-06-03
Resignation,00172919,GALLAGHER CONSULTANTS (HEALTHCARE) LIMITED,"RICE, Gillian Ann",director,2020-05-20,2026-06-01,2026-06-03
New Appointment,02409309,SUTTON SPECIALIST RISKS LIMITED,"GALIJAARD, Neil Edward",director,2026-06-01,,2026-06-03
Resignation,02409309,SUTTON SPECIALIST RISKS LIMITED,"LUDLEY, John David",director,,2026-06-01,2026-06-03
Resignation,04137311,BRIGHTSIDE INSURANCE SERVICES LIMITED,"PATEL, Tushar Surendra",director,2025-08-01,2026-06-01,2026-06-03
Resignation,04137311,BRIGHTSIDE INSURANCE SERVICES LIMITED,"RAWLINSON, Emma Jane",director,2025-03-07,2026-06-01,2026-06-03
Resignation,04137311,BRIGHTSIDE INSURANCE SERVICES LIMITED,"WINLOW, Mark",director,2026-01-02,2026-06-01,2026-06-03
Resignation,02560460,EASTWOOD & PARTNERS LIMITED,"SUGDEN, Andrew Graham",director,,2026-05-29,2026-06-03
