change_type,company_number,company_name,officer_name,officer_role,appointed_on,resigned_on,date_detected
New Appointment,04039137,CINCINNATI GLOBAL UNDERWRITING AGENCY LIMITED,"DUFFY, Michael Patrick",director,2026-06-03,,2026-06-05
New Appointment,04137311,BRIGHTSIDE INSURANCE SERVICES LIMITED,"BLAKEWAY, Paul Thomas",director,2026-06-01,,2026-06-05
